City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Bredasdorp,ZA,-34.5322,20.0403,73.4,60,92,6.93,overcast clouds
142,Namwala,ZM,-15.7504,26.4384,81.45,69,57,4.61,light rain
143,Russell,US,32.3502,-85.1999,39.2,92,1,4.14,mist
144,Poum,NC,-20.2333,164.0167,82.53,78,92,7.65,light rain
145,Gediz,TR,39.0417,29.41,46.4,81,0,5.88,clear sky
146,Butaritari,KI,3.0707,172.7902,81.95,80,35,19.91,scattered clouds
147,Ahipara,NZ,-35.1667,173.1667,64.81,82,75,2.93,broken clouds
148,Chapayeve,UA,49.3662,35.8749,33.8,93,75,8.95,mist
149,Tanete,ID,-3.9443,119.7848,80.96,70,99,4.47,overcast clouds
150,Luwuk,ID,-0.9516,122.7875,78.1,79,95,4.52,moderate rain
151,Gizo,SB,-8.103,156.8419,83.93,71,100,6.17,overcast clouds
152,Norman Wells,CA,65.282,-126.8329,-16.6,75,75,4.7,broken clouds
153,Kondoa,TZ,-4.9,35.7833,74.91,71,69,6.78,moderate rain
154,Codrington,AU,-38.2667,141.9667,56.3,83,24,13.96,few clouds
155,Nhulunbuy,AU,-12.2333,136.7667,84.2,83,99,4.7,overcast clouds
156,Harindanga,IN,22.0383,88.3214,86.0,42,91,5.82,haze
157,Hat Yai,TH,7.0084,100.4767,80.6,88,75,5.82,shower rain
158,Olafsvik,IS,64.8945,-23.7142,28.92,89,9,19.69,clear sky
159,Arawa,PG,-6.2132,155.5367,80.11,73,100,3.36,overcast clouds
160,Bowen,AU,-20.0167,148.2333,78.8,88,75,5.82,light rain
161,Souillac,MU,-20.5167,57.5167,84.2,70,40,14.99,shower rain
162,Launceston,AU,-41.45,147.1667,63.0,63,75,21.92,broken clouds
163,Ostrovnoy,RU,68.0531,39.5131,15.69,95,51,24.38,broken clouds
164,Margate,GB,51.3813,1.3862,41.0,94,95,1.01,overcast clouds
